material_id,Unnamed: 0,reduced_formula,space_group,chemical_system,num_sites,energy_above_hull,dft_band_gap,dft_bulk_modulus,dft_mag_density,hhi_score,ml_bulk_modulus,mean_h_affinity,best_site_h_affinity,frac_thermoneutral_sites,d_band_proxy,valence_electron_conc,carbon_fraction,mean_co_affinity,best_site_co_affinity,frac_co_selective_sites,mean_cooh_affinity,co2rr_selectivity,metal_mixing_entropy,n_metal_species,expensive_metal_fraction,metal_cn_mean,mc_coordination,metal_packing_density,metal_percolation_dim,min_dG_H,limiting_potential_V
alex<agm003296587>,3431,Cr3C,Cmcm,C-Cr,8,0.0461945889120372,,,-5.505275680435898e-06,3842.6263251566975,311.8741760253906,-0.05,-0.05,1.0,-1.1,5.5,0.25,-0.4000000000000001,-2.1185,0.0,0.6478,-1.3516,0.0,1,0.0,14.333333333333334,2.6666666666666665,0.0760047263248629,3.0,-0.7038,-0.6478
alex<agm003203538>,3434,Cr2C,Pnnm,C-Cr,6,0.0037862015000005,,,0.0008034883251411,3727.263456344626,254.5624847412109,-0.05,-0.05,1.0,-1.1,5.333333333333333,0.3333333333333333,-0.4,-1.6201,0.0,0.9658,-1.5676,0.0,1,0.0,15.0,3.0,0.067782613769227,3.0,-0.6018,-0.9658
mp-1189286,3430,Cr3C,Pnma,C-Cr,16,0.0134918120370368,0.0,,-1.676577986882206e-07,3842.6263251566975,306.4666442871094,-0.05,-0.05,1.0,-1.1,5.5,0.25,-0.4000000000000001,-1.9025,0.0,-0.1175,-0.7843,0.0,1,0.0,14.333333333333334,2.6666666666666665,0.0767898314602537,3.0,-0.9018,0.1175
alex<agm002139963>,3435,Cr2C,Pbcn,C-Cr,12,0.0136100306666673,,,6.201766205776542e-06,3727.263456344626,249.32711791992188,-0.05,-0.05,1.0,-1.1,5.333333333333333,0.3333333333333333,-0.4,-1.031,0.0,-0.2211,-0.5632,0.0,1,0.0,15.0,3.0,0.0676402584819824,3.0,-0.7843,0.2211
mp-570112,3437,Cr3C2,Cmcm,C-Cr,10,0.029720632,0.0,308.9134033829652,,3619.597888336017,310.484130859375,-0.05,-0.05,1.0,-1.1,5.2,0.4,-0.4000000000000001,-1.516,0.0,0.9854,-1.5411,0.0,1,0.0,16.0,4.666666666666667,0.0668423313125104,3.0,-0.5557,-0.9854
alex<agm005217812>,3438,Cr3C2,R-3c,C-Cr,10,0.0833191069999994,,,0.0274260190642643,3619.597888336017,275.4093017578125,-0.05,-0.05,1.0,-1.1,5.2,0.4,-0.4000000000000001,-0.0888,0.5,-0.8371,0.4125,0.0,1,0.0,16.0,4.0,0.0634048346457846,3.0,-0.4246,-0.7483
mp-1018050,3429,CrC,P-6m2,C-Cr,2,0.0799137612499976,0.0,341.7788932070904,-1.3284271633075465e-06,3424.469900073117,363.4673156738281,-0.05,-0.05,1.0,-1.1,5.0,0.5,-0.4,-0.1553,0.25,0.2488,-1.0021,0.0,1,0.0,14.0,6.0,0.0601098347104419,,-0.7533,-0.2488
mp-1282,4267,VC,Fm-3m,C-V,2,0.0897535224305574,0.0,306.75864520688685,-6.101656699628433e-08,2846.706707628963,304.4938049316406,-0.1,-0.1,0.0,-1.4,4.5,0.5,-0.45,0.5695,0.0,4.8044,-5.4456,0.0,1,0.0,18.0,6.0,0.0554843711146722,,-0.6412,-4.8044
alex<agm002140648>,4264,V2C,Pnma,C-V,12,0.0,,,0.0005845231082675,3094.179484905662,239.606689453125,-0.1,-0.1,0.0,-1.4,4.666666666666667,0.3333333333333333,-0.45,-1.4398,0.0,-1.2535,0.4992,0.0,1,0.0,15.0,3.0,0.0608477339947917,3.0,-0.7543,0.1863
alex<agm003290135>,4266,V4C3,C2/m,C-V,7,0.0873153906547621,,,-5.424611161077e-06,2964.2455465660487,247.58737182617188,-0.1,-0.1,0.0,-1.4,4.571428571428571,0.4285714285714285,-0.45,-0.1222,0.5,-0.7494,0.0028,0.0,1,0.0,16.5,4.5,0.0565947956357518,2.0,-0.7466,-0.6272
