실험 조건,Catalyst powder (g),Carbon black (g),5wt% nafion solution (g),DI water (g),IPA(alcohol) (g),NPA(alcohol) (g),고형분,Carbon 첨가 비율 (wt%),순수 Nafion 질량 (g),I/C ratio,just I/C,용매 내의 물 분율(wt%),용매 Type,총 질량 (g),Ink Concentration (mg/mL),Total Solvent(mL),Total Solid(mg),에탄올 생성량(임의값)
1-1,0.01,0,0.02,0.25,0.75,0,0.01,0,0.001,10,0.1,25,IPA,1.03,0.009803922,1.02,0.01,85.4
1-2,0.008,0.002,0.02,0.25,0.75,0,0.01,20,0.001,10,0.1,25,IPA,1.03,0.009803922,1.02,0.01,78.2
1-3,0.006,0.004,0.02,0.25,0.75,0,0.01,40,0.001,10,0.1,25,IPA,1.03,0.009803922,1.02,0.01,2.1
1-4,0.009,0.001,0.02,0.25,0.75,0,0.01,10,0.001,10,0.1,25,IPA,1.03,0.009804,1.02,0.01,81.5
1-5,0.007,0.003,0.02,0.25,0.75,0,0.01,30,0.001,10,0.1,25,IPA,1.03,0.009804,1.02,0.01,3.4
2-1,0.008,0.002,0.01,0.25,0.75,0,0.01,20,0.0005,5,0.05,25,IPA,1.02,0.009901,1.01,0.01,1.8
2-2,0.008,0.002,0.02,0.25,0.75,0,0.01,20,0.001,10,0.1,25,IPA,1.03,0.009804,1.02,0.01,89.1
2-3,0.008,0.002,0.04,0.25,0.75,0,0.01,20,0.002,20,0.2,25,IPA,1.05,0.0096154,1.04,0.01,4.2
2-4,0.008,0.002,0.03,0.25,0.75,0,0.01,20,0.0015,15,0.15,25,IPA,1.04,0.0097087,1.03,0.01,5
2-5,0.008,0.002,0.06,0.25,0.75,0,0.01,20,0.003,30,0.3,25,IPA,1.07,0.009434,1.06,0.01,0.8
2-6,0.008,0.002,0.08,0.25,0.75,0,0.01,20,0.004,40,0.4,25,IPA,1.09,0.0092593,1.08,0.01,0.3
3-1,0.008,0.002,0.02,0.25,0.75,0,0.01,20,0.001,10,0.1,25,IPA,1.03,0.0098039,1.02,0.01,83.7
3-2,0.008,0.002,0.02,0.25,0,0.75,0.01,20,0.001,10,0.1,25,NPA,1.03,0.009804,1.02,0.01,76.9
3-3,0.008,0.002,0.02,0.25,0.375,0.375,0.01,20,0.001,10,0.1,25,NPA + IPA,1.03,0.00980392,1.02,0.01,4.9
4-1,0.008,0.002,0.02,0.75,0.25,0,0.01,20,0.001,10,0.1,75,IPA,1.03,0.009804,1.02,0.01,72.4
4-2,0.008,0.002,0.02,0.5,0.5,0,0.01,20,0.001,10,0.1,50,IPA,1.03,0.009804,1.02,0.01,2.7
4-3,0.008,0.002,0.02,0.25,0.75,0,0.01,20,0.001,10,0.1,25,IPA,1.03,0.009804,1.02,0.01,87
4-4,0.008,0.002,0.02,0,1,0,0.01,20,0.001,10,0.1,0,IPA,1.03,0.009804,1.02,0.01,1.1
4-5,0.008,0.002,0.02,1,0,0,0.01,20,0.001,10,0.1,100,IPA,1.03,0.009804,1.02,0.01,0
