adsorbate,calc,dG_uma,dir,facet,formula,infile,kind,kpts,natoms,nfixed,prefix,src_cif
CO,relax,,/home/jonglee69/mattergen/CarbideMatterGen/outputs/dft_dual/dft_relax_B/hec3_CrTiV/facet100_CO_clean,100,hec3_CrTiV,relax.in,clean,gamma,64,32,hec3_CrTiV_f100_CO_clean,/home/jonglee69/mattergen/CarbideMatterGen/outputs/dft_dual/targets/hec3_CrTiV/facet100_CO_clean.cif
CO,relax,,/home/jonglee69/mattergen/CarbideMatterGen/outputs/dft_dual/dft_relax_B/hec3_CrTiV/facet100_CO_ads,100,hec3_CrTiV,relax.in,ads,gamma,66,48,hec3_CrTiV_f100_CO_ads,/home/jonglee69/mattergen/CarbideMatterGen/outputs/dft_dual/targets/hec3_CrTiV/facet100_CO_ads.cif
COOH,relax,,/home/jonglee69/mattergen/CarbideMatterGen/outputs/dft_dual/dft_relax_B/hec3_CrTiV/facet100_CO_clean,100,hec3_CrTiV,relax.in,clean,gamma,64,32,hec3_CrTiV_f100_CO_clean,/home/jonglee69/mattergen/CarbideMatterGen/outputs/dft_dual/targets/hec3_CrTiV/facet100_COOH_clean.cif
COOH,relax,,/home/jonglee69/mattergen/CarbideMatterGen/outputs/dft_dual/dft_relax_B/hec3_CrTiV/facet100_COOH_ads,100,hec3_CrTiV,relax.in,ads,gamma,68,48,hec3_CrTiV_f100_COOH_ads,/home/jonglee69/mattergen/CarbideMatterGen/outputs/dft_dual/targets/hec3_CrTiV/facet100_COOH_ads.cif
H,relax,,/home/jonglee69/mattergen/CarbideMatterGen/outputs/dft_dual/dft_relax_B/hec3_CrTiV/facet100_CO_clean,100,hec3_CrTiV,relax.in,clean,gamma,64,32,hec3_CrTiV_f100_CO_clean,/home/jonglee69/mattergen/CarbideMatterGen/outputs/dft_dual/targets/hec3_CrTiV/facet100_H_clean.cif
H,relax,,/home/jonglee69/mattergen/CarbideMatterGen/outputs/dft_dual/dft_relax_B/hec3_CrTiV/facet100_H_ads,100,hec3_CrTiV,relax.in,ads,gamma,65,32,hec3_CrTiV_f100_H_ads,/home/jonglee69/mattergen/CarbideMatterGen/outputs/dft_dual/targets/hec3_CrTiV/facet100_H_ads.cif
CO,relax,,/home/jonglee69/mattergen/CarbideMatterGen/outputs/dft_dual/dft_relax_B/hec3_CrTiZr/facet100_CO_clean,100,hec3_CrTiZr,relax.in,clean,gamma,64,32,hec3_CrTiZr_f100_CO_clean,/home/jonglee69/mattergen/CarbideMatterGen/outputs/dft_dual/targets/hec3_CrTiZr/facet100_CO_clean.cif
CO,relax,,/home/jonglee69/mattergen/CarbideMatterGen/outputs/dft_dual/dft_relax_B/hec3_CrTiZr/facet100_CO_ads,100,hec3_CrTiZr,relax.in,ads,gamma,66,48,hec3_CrTiZr_f100_CO_ads,/home/jonglee69/mattergen/CarbideMatterGen/outputs/dft_dual/targets/hec3_CrTiZr/facet100_CO_ads.cif
COOH,relax,,/home/jonglee69/mattergen/CarbideMatterGen/outputs/dft_dual/dft_relax_B/hec3_CrTiZr/facet100_CO_clean,100,hec3_CrTiZr,relax.in,clean,gamma,64,32,hec3_CrTiZr_f100_CO_clean,/home/jonglee69/mattergen/CarbideMatterGen/outputs/dft_dual/targets/hec3_CrTiZr/facet100_COOH_clean.cif
COOH,relax,,/home/jonglee69/mattergen/CarbideMatterGen/outputs/dft_dual/dft_relax_B/hec3_CrTiZr/facet100_COOH_ads,100,hec3_CrTiZr,relax.in,ads,gamma,68,48,hec3_CrTiZr_f100_COOH_ads,/home/jonglee69/mattergen/CarbideMatterGen/outputs/dft_dual/targets/hec3_CrTiZr/facet100_COOH_ads.cif
H,relax,,/home/jonglee69/mattergen/CarbideMatterGen/outputs/dft_dual/dft_relax_B/hec3_CrTiZr/facet100_CO_clean,100,hec3_CrTiZr,relax.in,clean,gamma,64,32,hec3_CrTiZr_f100_CO_clean,/home/jonglee69/mattergen/CarbideMatterGen/outputs/dft_dual/targets/hec3_CrTiZr/facet100_H_clean.cif
H,relax,,/home/jonglee69/mattergen/CarbideMatterGen/outputs/dft_dual/dft_relax_B/hec3_CrTiZr/facet100_H_ads,100,hec3_CrTiZr,relax.in,ads,gamma,65,32,hec3_CrTiZr_f100_H_ads,/home/jonglee69/mattergen/CarbideMatterGen/outputs/dft_dual/targets/hec3_CrTiZr/facet100_H_ads.cif
CO,relax,,/home/jonglee69/mattergen/CarbideMatterGen/outputs/dft_dual/dft_relax_moTiZr/_gas/CO,,_gas,relax.in,_gas,gamma,,,CO,
CO2,relax,,/home/jonglee69/mattergen/CarbideMatterGen/outputs/dft_dual/dft_relax_moTiZr/_gas/CO2,,_gas,relax.in,_gas,gamma,,,CO2,
H2,relax,,/home/jonglee69/mattergen/CarbideMatterGen/outputs/dft_dual/dft_relax_moTiZr/_gas/H2,,_gas,relax.in,_gas,gamma,,,H2,
