formula,best_dG_CO,abs_CO_opt,frac_co_sel,min_dG_COOH,min_dG_H,co_over_h,U_L_V,co_dens_per_nm2,n_facets,n_sites,d_block_only
Pr3Y2WC6,-0.0009,0.0009,0.2143,-7.2363,-2.2563,True,-7.2354,1.747,7,28,False
La5Y4W2C9,-0.0012,0.0012,0.1364,-5.3822,-4.5977,True,-5.381,0.631,11,44,False
Ce2Y2ZrWC6,0.0071,0.0071,0.1071,-6.6301,-3.4198,True,-6.6372,0.931,7,28,False
La3Y5(WC3)3,-0.0081,0.0081,0.1667,-3.3696,-1.0453,True,-3.3615,0.891,9,36,False
Y2ZrWC8,-0.0098,0.0098,0.1923,-4.0746,-2.0182,True,-4.0649,1.574,13,52,False
CeY2ZrWC7,-0.0111,0.0111,0.1591,-4.1719,-1.7492,True,-4.1608,1.283,11,44,False
Y2Zr2WC7,-0.0165,0.0165,0.1429,-4.529,-2.7297,True,-4.5125,1.367,7,28,False
NdY2WC4,0.0318,0.0318,0.0714,-3.1196,-1.3965,True,-3.1514,0.518,7,28,False
CeY4ZrZnC5,0.0321,0.0321,0.1786,-4.0064,-1.8995,True,-4.0384,1.356,7,28,False
Y2TiWC6,0.0355,0.0355,0.1429,-2.3642,-0.7864,True,-2.3997,1.588,7,28,False
CeY2BWC5,0.0521,0.0521,0.0714,-5.0813,-1.3378,True,-5.1334,0.747,7,28,False
Ce2Y2WC6,0.0699,0.0699,0.1071,-4.3636,-1.5076,True,-4.4334,0.977,7,28,False
CeY2Zr2WC6,0.083,0.083,0.0714,-7.3094,-4.2968,True,-7.3924,0.643,7,28,False
CeY4ZrWC9,0.0901,0.0901,0.0857,-9.2506,-9.5353,False,-9.3407,0.568,9,35,False
Y2ZrWC5,0.1149,0.1149,0.0357,-3.9625,-4.3052,False,-4.0774,0.309,7,28,False
Y3Zr2WC6,-0.1171,0.1171,0.1071,-5.1446,-3.1664,True,-5.0275,0.97,7,28,False
Y2ZrWC4,-0.171,0.171,0.0278,-3.311,-2.9187,True,-3.1401,0.265,9,36,False
Nd2Y5Zr2WC10,0.2053,0.2053,0.0,-6.238,-4.9721,True,-6.4434,0.0,9,36,False
La4Y5W3C8,-0.2445,0.2445,0.0,-2.9149,-1.0432,True,-2.6704,0.0,13,52,False
Y3Sc(WC3)2,-0.4095,0.4095,0.0,-1.81,-1.3588,True,-1.4005,0.0,9,36,False
NdY2WC6,0.4514,0.4514,0.0,-6.8695,-4.0011,True,-7.3209,0.0,7,20,False
Y2HfZr2WC6,-0.4524,0.4524,0.0,-5.4586,-7.8442,False,-5.0062,0.0,7,27,False
Y2Zr3WC6,-0.4527,0.4527,0.0,-6.1794,-8.4763,False,-5.7266,0.0,11,44,False
Y2Zr2WC5,-0.4658,0.4658,0.0,-3.8504,-1.0325,True,-3.3847,0.0,5,20,False
