source,formula,best_site_co_affinity,mean_co_affinity,frac_co_selective_sites,mean_cooh_affinity,co2rr_selectivity,metal_mixing_entropy,n_metal_species,expensive_metal_fraction,carbon_fraction,metal_percolation_dim
w2p5/chunk_3/gen_99.cif,CeY4ZrZnC5,0.05,-0.5917,0.333,-0.175,-0.1083,1.154,4,0.0,0.417,2.0
w2p5/chunk_3/gen_36.cif,Nd2Y5Zr2WC10,-0.2,-0.6438,0.0,-0.25,-0.1,1.221,4,0.0,0.5,nan
w2p5/chunk_1/gen_92.cif,CeY4ZrWC9,-0.2,-0.6333,0.0,-0.2417,-0.1,1.154,4,0.0,0.562,nan
w2p5/chunk_0/gen_86.cif,Y3Zr2WC6,-0.2,-0.6083,0.0,-0.2167,-0.1,1.011,3,0.0,0.5,nan
w2p5/chunk_3/gen_3.cif,Y3Zr2WC6,-0.2,-0.6083,0.0,-0.2167,-0.1,1.011,3,0.0,0.5,nan
w2p5/chunk_2/gen_81.cif,Y2HfZr2WC6,-0.2,-0.5833,0.0,-0.1917,-0.1,1.33,4,0.0,0.5,nan
w2p5/chunk_2/gen_69.cif,Y2Zr3WC6,-0.2,-0.5833,0.0,-0.1917,-0.1,1.011,3,0.0,0.5,nan
w2p5/chunk_0/gen_56.cif,Y2Zr2WC5,-0.2,-0.58,0.0,-0.19,-0.1,1.055,3,0.0,0.5,nan
w2p5/chunk_2/gen_18.cif,CeY2Zr2WC6,-0.2,-0.58,0.0,-0.19,-0.1,1.33,4,0.0,0.5,nan
w2p5/chunk_2/gen_58.cif,Y2Zr2WC7,-0.2,-0.58,0.0,-0.19,-0.1,1.055,3,0.0,0.583,nan
w2p5/chunk_3/gen_125.cif,Y2Zr2WC5,-0.2,-0.58,0.0,-0.19,-0.1,1.055,3,0.0,0.5,nan
w1p0/chunk_2/gen_23.cif,Y2ZrWC4,-0.2,-0.575,0.0,-0.1875,-0.1,1.04,3,0.0,0.5,nan
w1p0/chunk_3/gen_91.cif,Y2ZrWC4,-0.2,-0.575,0.0,-0.1875,-0.1,1.04,3,0.0,0.5,nan
w2p5/chunk_0/gen_91.cif,CeY2ZrWC7,-0.2,-0.575,0.0,-0.1875,-0.1,1.332,4,0.0,0.583,nan
w2p5/chunk_0/gen_0.cif,Ce2Y2ZrWC6,-0.2,-0.575,0.0,-0.1875,-0.1,1.33,4,0.0,0.5,nan
w2p5/chunk_2/gen_24.cif,Y2ZrWC4,-0.2,-0.575,0.0,-0.1875,-0.1,1.04,3,0.0,0.5,nan
w2p5/chunk_2/gen_109.cif,Y2ZrWC8,-0.2,-0.575,0.0,-0.1875,-0.1,1.04,3,0.0,0.667,nan
w2p5/chunk_2/gen_105.cif,Y2ZrWC5,-0.2,-0.575,0.0,-0.1875,-0.1,1.04,3,0.0,0.556,nan
w2p5/chunk_1/gen_56.cif,Y2ZrWC5,-0.2,-0.575,0.0,-0.1875,-0.1,1.04,3,0.0,0.556,nan
w2p5/chunk_3/gen_70.cif,Y2ZrWC5,-0.2,-0.575,0.0,-0.1875,-0.1,1.04,3,0.0,0.556,nan
w1p0/chunk_3/gen_78.cif,La5Y4W2C9,-0.2,-0.5667,0.0,-0.1833,-0.1,1.036,3,0.0,0.45,1.0
w2p5/chunk_2/gen_4.cif,CeY2BWC5,-0.2,-0.5667,0.0,-0.1833,-0.1,1.04,3,0.0,0.5,nan
w2p5/chunk_2/gen_2.cif,Pr3Y2WC6,-0.2,-0.5667,0.0,-0.1833,-0.1,1.011,3,0.0,0.5,nan
w2p5/chunk_1/gen_73.cif,NdY2WC4,-0.2,-0.5667,0.0,-0.1833,-0.1,1.04,3,0.0,0.5,2.0
